psia \\ degF,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
1,1150.2,1195.7,1241.8,1288.6,1336.1,1384.5,-1,-1,-1,-1,-1,-1,-1,-1
5,1148.6,1194.8,1241.3,1288.2,1335.9,1384.3,1433.6,1483.7,1534.7,1586.7,1639.6,1693.3,1748,1803.5
10,1146.6,1193.7,1240.6,1287.6,1335.5,1384,1433.4,1483.5,1534.6,1586.6,1639.5,1693.3,1747.9,1803.4
15,-1,1192.5,1239.9,1287.3,1335.2,1383.8,1433.2,1483.4,1534.5,1586.5,1639.4,1693.2,1747.8,1803.4
20,-1,1191.4,1239.2,1286.9,1334.9,1383.5,1432.9,1483.2,1534.3,1586.3,1639.3,1693.1,1747.8,1803.3
40,-1,1186.6,1236.4,1285,1333.6,1382.5,1432.1,1482.5,1533.7,1585.8,1638.8,1992.7,1747.5,1803
60,-1,1181.6,1233.5,1283.2,1332.3,1381.5,1431.3,1481.8,1533.2,1585.3,1638.4,1692.4,1747.1,1802.8
80,-1,-1,1230.5,1281.3,1330.9,1380.5,1430.5,1481.1,1532.6,1584.9,1638,1692,1746.8,1802.5
100,-1,-1,1227.4,1279.3,1329.6,1379.5,1429.7,1480.4,1532,1584.4,1637.6,1691.6,1746.5,1802.2
120,-1,-1,1224.1,1277.4,1328.1,1378.4,1428.8,1479.8,1531.4,1583.9,1637.1,1691.3,1746.2,1802
140,-1,-1,1220.8,1275.3,1326.8,1377.4,1428,1479.1,1530.8,1583.4,1636.7,1690.9,1745.9,1801.7
160,-1,-1,1217.4,1273.3,1325.4,1376.4,1427.2,1478.4,1530.3,1582.9,1636.3,1690.5,1745.6,1801.4
180,-1,-1,1213.8,1271.2,1324,1375.3,1426.3,1477.7,1529.7,1582.4,1635.9,1690.2,1745.3,1801.2
200,-1,-1,1210.1,1269,1322.6,1374.3,1425.5,1477,1529.1,1581.9,1635.4,1689.8,1745,1800.9
250,-1,-1,-1,1263.5,1319,1371.6,1423.4,1475.3,1527.6,1580.6,1634.4,1688.9,1744.2,1800.2
300,-1,-1,-1,1257.7,1315.2,1368.9,1421.3,1473.6,1526.2,1579.4,1633.3,1688,1743.4,1799.6
350,-1,-1,-1,1251.5,1311.4,1366.2,1419.2,1471.8,1524.7,1578.2,1632.3,1687.1,1742.6,1798.9
400,-1,-1,-1,1245.1,1307.4,1363.4,1417,1470.1,1523.3,1576.9,1631.2,1686.2,1741.9,1798.2
500,-1,-1,-1,1231.2,1299.1,1357.7,1412.7,1466.6,1520.3,1574.4,1629.1,1684.4,1740.3,1796.9
600,-1,-1,-1,1215.9,1290.3,1351.8,1408.3,1463,1517.4,1571.9,1627,1682.6,1738.8,1795.6
700,-1,-1,-1,-1,1281,1345.6,1403.7,1459.4,1514.4,1569.4,1624.8,1680.7,1737.2,1794.3
800,-1,-1,-1,-1,1271.1,1339.2,1399.1,1455.8,1511.4,1566.9,1622.7,1678.9,1735,1792.9
900,-1,-1,-1,-1,1260.6,1332.7,1394.4,1452.2,1508.2,1564.4,1620.6,1677.1,1734.1,1791.6
1000,-1,-1,-1,-1,1249.3,1325.9,1389.6,1448.5,1504.4,1561.9,1618.4,1675.3,1732.5,1790.3
1100,-1,-1,-1,-1,1237.3,1318.8,1384.7,1444.7,1502.4,1559.4,1616.3,1673.5,1731,1789
1200,-1,-1,-1,-1,1224.2,1311.5,1379.7,1440.9,1499.4,1556.9,1614.2,1671.6,1729.4,1787.6
1400,-1,-1,-1,-1,1194.1,1296.1,1369.3,1433.2,1493.2,1551.8,1609.9,1668,1726.3,1785
1600,-1,-1,-1,-1,-1,1279.4,1358.5,1425.2,1486.9,1546.6,1605.6,1664.3,1723.2,1782.3
1800,-1,-1,-1,-1,-1,1261.1,1347.2,1417.1,1480.6,1541.1,1601.2,1660.7,1720.1,1779.7
2000,-1,-1,-1,-1,-1,1240.9,1353.4,1408.7,1474.1,1536.2,1596.9,1657,1717,1777.1
2500,-1,-1,-1,-1,-1,1176.7,1303.4,1386.7,1457.5,1522.9,1585.9,1647.8,1709.2,1770.4
3000,-1,-1,-1,-1,-1,1060.5,1267,1363.2,1440.2,1509.4,1574.8,1638.5,1701.4,1761.8
3200,-1,-1,-1,-1,-1,-1,1250.9,1353.4,1433.1,1503.8,1570.3,1634.8,1698.3,1761.2
