psia \\ degF,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500
1,392.5,452.3,511.9,571.5,631.1,690.7,-1,-1,-1,-1,-1,-1,-1,-1
5,78.14,90.24,102.24,114.21,126.15,138.08,150.01,161.94,173.86,185.78,197.7,209.62,221.53,233.45
10,38.84,44.98,51.03,57.04,63.03,69,74.98,80.94,86.91,92.87,98.84,104.8,110.76,116.72
15,-1,29.899,33.963,37.985,41.986,45.978,49.964,53.946,57.926,61.905,65.882,69.858,73.833,77.807
20,-1,22.356,25.428,28.457,31.466,34.465,39.458,40.447,43.435,46.42,49.405,52.388,55.37,58.352
40,-1,11.036,12.624,14.165,15.685,17.195,18.699,20.199,21.697,23.194,24.689,26.183,27.676,29.168
60,-1,7.257,8.354,9.4,10.425,11.438,12.446,13.45,14.452,15.452,16.45,17.448,18.445,19.441
80,-1,-1,6.218,7.018,7.794,8.56,9.319,10.075,10.829,11.581,12.331,13.081,13.829,14.577
100,-1,-1,4.935,5.588,6.216,6.833,7.443,8.05,8.655,9.258,9.86,10.46,11.06,11.659
120,-1,-1,4.0786,4.6341,5.1637,5.6831,6.1928,6.7006,7.206,7.7096,8.2119,8.713,9.2134,9.713
140,-1,-1,3.4661,3.9526,4.4119,4.8585,5.2995,5.7364,6.1709,6.6036,7.0349,7.4652,7.8946,8.3233
160,-1,-1,3.006,3.4413,3.848,4.242,4.6295,5.0132,5.3945,5.7741,6.1522,6.5293,6.9055,7.2811
180,-1,-1,2.6474,3.0433,3.4093,3.7621,4.1084,4.4505,4.7907,5.1289,5.4657,5.8014,6.1363,6.4704
200,-1,-1,2.3598,2.7247,3.0583,3.3783,3.6915,4.0008,4.3077,4.6128,4.9165,5.2191,5.5209,5.8219
250,-1,-1,-1,2.1504,2.4662,2.6872,2.941,3.1909,3.4382,3.6837,3.9278,4.1709,4.4131,4.6546
300,-1,-1,-1,1.7665,2.0044,2.2263,2.4407,2.6509,2.8585,3.0643,3.2688,3.4721,3.6746,3.8746
350,-1,-1,-1,0.4913,1.7028,1.897,2.0832,2.2652,2.4445,2.6219,2.798,2.973,3.1471,3.3205
400,-1,-1,-1,1.2841,1.4763,1.6499,1.8151,1.9759,2.1339,2.2901,2.445,2.5987,2.7515,2.9037
500,-1,-1,-1,0.9919,1.1584,1.3037,1.4397,1.5708,1.6992,1.8256,1.9507,2.0746,2.1977,2.32
600,-1,-1,-1,0.7944,0.9456,1.0726,1.1892,1.3008,1.4093,1.516,1.6211,1.7252,1.8284,1.9309
700,-1,-1,-1,-1,0.7928,0.9072,1.0102,1.1078,1.2023,1.2948,1.3858,1.4757,1.5647,1.653
800,-1,-1,-1,-1,0.6774,0.7828,0.8759,0.9631,1.047,1.1289,1.2093,1.2885,1.3669,1.4446
900,-1,-1,-1,-1,0.5869,0.6858,0.7716,0.8504,0.9262,0.9998,1.072,1.143,1.2131,1.2825
1000,-1,-1,-1,-1,0.5137,0.608,0.6875,0.7603,0.8295,0.8966,0.9622,1.0266,1.0901,1.1529
1100,-1,-1,-1,-1,0.4531,0.544,0.6188,0.6865,0.7505,0.8121,0.8723,0.9313,0.9894,1.0468
1200,-1,-1,-1,-1,0.4016,0.4905,0.5615,0.625,0.6845,0.7418,0.7974,0.8519,0.9055,0.9584
1400,-1,-1,-1,-1,0.3176,0.4059,0.4712,0.5282,0.5809,0.6311,0.6798,0.7272,0.7737,0.8195
1600,-1,-1,-1,-1,-1,0.3415,0.4032,0.4555,0.5031,0.5482,0.5915,0.6336,0.6748,0.7153
1800,-1,-1,-1,-1,-1,0.2906,0.35,0.3988,0.4426,0.4836,0.5229,0.5609,0.598,0.6343
2000,-1,-1,-1,-1,-1,0.2488,0.3072,0.3534,0.3942,0.432,0.468,0.5027,0.5365,0.5695
2500,-1,-1,-1,-1,-1,0.1681,0.2293,0.2712,0.3068,0.339,0.3692,0.398,0.4259,0.4529
3000,-1,-1,-1,-1,-1,0.0982,0.1759,0.2161,0.2484,0.277,0.3033,0.3282,0.3522,0.3753
3200,-1,-1,-1,-1,-1,-1,0.1588,0.1987,0.2301,0.2576,0.2827,0.3065,0.3291,0.351
