bar \\ degC,100,150,200,250,300,400,500,600,700,800
0.1,2867.5,2783,2879.5,2977.3,3076.5,2379.6,3489.1,3705.4,3928.7,4159
0.5,2682.5,2780.1,2877.7,2976,3075.5,3278.9,3488.7,3705.1,3928.5,4158.9
1,2676.2,2776.4,2875.3,2974.3,3074.3,3278.2,3488.1,3704.7,3928.2,4158.6
2,-1,2768.8,2870.5,2971,3071.8,3276.6,3487.7,3704,3927.6,4158.2
3,-1,2761,2865.6,2967.6,3069.3,3275,3486,3703.2,3927.1,4157.8
4,-1,2752.8,2860.5,2964.2,3066.8,3273.4,3484.9,3702.4,3926.5,4157.3
5,-1,-1,2855.4,2960.7,3064.2,3271.9,3483.9,3701.7,3925.9,4156.9
6,-1,-1,2850.1,2957.2,3061.6,3270.3,3482.8,3700.9,3925.3,4156.5
10,-1,-1,2827.9,2942.6,3051.2,3263.9,3478.5,3697.9,3923.1,4154.7
20,-1,-1,-1,2902.5,3023.5,3247.6,3467.6,3690.1,3917.4,4150.3
30,-1,-1,-1,2855.8,2993.5,3230.9,3456.5,3682.3,3911.7,4145.9
40,-1,-1,-1,-1,2960.7,3213.6,3445.3,3674.4,3905.9,4141.5
50,-1,-1,-1,-1,2924.5,3195.7,3433.8,3666.5,3900.1,4137.1
60,-1,-1,-1,-1,2884.2,3177.2,3422.2,3658.4,3894.2,4132.7
70,-1,-1,-1,-1,2838.4,3158.1,3410.3,3650.3,3888.3,4128.2
80,-1,-1,-1,-1,2758,3138.3,3398.3,3642,3882.4,4123.8
90,-1,-1,-1,-1,-1,3117.8,3386.1,3633.7,3876.5,4119.3
100,-1,-1,-1,-1,-1,3096.5,3373.7,3625.3,3870.5,4114.8
150,-1,-1,-1,-1,-1,2975.5,3308.6,3582.3,3840.1,4092.4
200,-1,-1,-1,-1,-1,2818.1,3238.2,3537.6,3809,4069.7
250,-1,-1,-1,-1,-1,2580.2,3162.4,3491.4,3777.5,4047.1
300,-1,-1,-1,-1,-1,2151.1,3081.1,3443.9,3745.6,4024.2
350,-1,-1,-1,-1,-1,1987.6,2994.4,3395.5,3713.5,4001.5
400,-1,-1,-1,-1,-1,1930.9,2903.3,3346.4,3681.2,3978.7
500,-1,-1,-1,-1,-1,1874.6,2720.1,3247.6,3616.8,3933.6
